动力煤期货主力,921.0,921.0,2023-05-09,
动力煤期货2306,801.4,801.4,2023-05-09,
动力煤期货2307,801.4,801.4,2023-05-09,
动力煤期货主力,921.0,921.0,2023-05-10,
动力煤期货2306,801.4,801.4,2023-05-10,
动力煤期货2307,801.4,801.4,2023-05-10,
